Result #1,
API,31730263
GIS WELL NUMBER,1
GIS SYMBOL DESCRIPTION,Plugged Oil Well
GIS LOCATION SOURCE,Commission`s hardcopy map
GIS LAT (NAD27),32.251857
GIS LONG (NAD27),-101.989589
GIS LAT (NAD83),32.251974
GIS LONG (NAD83),-101.990006
,Well Logs
OPERATOR/WELLBORE,
WELLBORE STATUS,PLUG
LAST PERMIT ISSUED,
LAST PERMIT OPERATOR NUMBER,
LAST PERMIT OPERATOR,
LAST PERMIT LEASE NAME,
TOTAL DEPTH,9250
SURFACE LOCATION,Land
ABSTRACT,
SURVEY,
BLOCK,
SECTION,
DISTANCE 1,
DIRECTION 1,
DISTANCE 2,
DIRECTION 2,
,Oil/Gas Imaged Records for API:31730263
COMPLETION RECORD,
PRORATION SCHEDULE,OIL
DISTRICT,08
LEASE/ID,21893
OPERATOR NUMBER,640892
OPERATOR,PARKER & PARSLEY PETROLEUM CO.
LEASE NAME,WOODY -F-
FIELD,SPRABERRY (TREND AREA)
WELL NUMBER,   1  
TYPE WELL,HISTORY
ON SCHEDULE,NO
,production data query(pdq)
,PLUGGING RECORD
DATE PLUGGED,05/12/1990
PLUG DEPTH,9250
PLUGGING OPERATOR,
PLUGGED LEASE,
